Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Recommended_Fertilizer,,
6.07,61,44,84,19.84,83.31,1693.22,Cotton,Harvest,MOP,,
6.39,59,56,18,24.4,46.27,1030.21,Maize,Vegetative,Urea,,
7.92,43,21,119,24.82,71.86,1166.16,Cotton,Flowering,Urea,,
5.86,88,46,34,27.87,53.23,2881.83,Wheat,Flowering,MOP,,
7.98,104,53,98,24.17,51.87,714.84,Potato,Sowing,Zinc Sulphate,,
4.85,48,31,87,29.46,52.03,2682.91,Rice,Harvest,Urea,,
7.61,56,20,40,36.52,68.36,2263.05,Maize,Sowing,Urea,,
7.89,39,64,22,21.94,62.28,1917.67,Wheat,Harvest,Urea,,
5.23,23,19,74,36.3,75.3,1947.46,Cotton,Vegetative,Urea,,
6.22,158,51,39,16.59,39.18,1384.23,Rice,Harvest,MOP,,
5.16,105,89,82,13.64,55.53,1428.78,Maize,Harvest,Compost,,
7.33,71,85,113,17.18,81.62,2429.03,Potato,Vegetative,NPK,,
6.64,62,64,38,16.2,30.19,2470.42,Wheat,Harvest,MOP,,
7.04,141,59,104,39.55,67.41,1799.24,Cotton,Vegetative,NPK,,
5.29,151,41,27,21.43,77.14,2352.06,Maize,Vegetative,MOP,,
5.35,96,77,12,29.54,53.03,2468.15,Wheat,Harvest,MOP,,
4.67,102,27,44,30.88,83.02,1129.91,Rice,Sowing,DAP,,
5.79,88,74,75,23.36,74.14,1945.4,Rice,Sowing,NPK,,
6.74,33,34,13,16.71,66.36,1420.22,Potato,Harvest,Urea,,
7.93,89,40,50,23.14,41.9,474.7,Potato,Harvest,Zinc Sulphate,,
7.17,24,28,88,24.21,70.21,2015.7,Wheat,Flowering,Urea,,
6.24,21,27,90,38.62,80.03,1844.96,Rice,Harvest,Urea,,
8.31,25,77,99,27.06,73.79,487.27,Rice,Sowing,Urea,,
7.38,53,42,104,39.1,64.49,398.28,Wheat,Sowing,Urea,,
8.22,41,79,39,27.3,72.87,898.98,Cotton,Flowering,Urea,,
6.61,151,16,96,14.35,88.61,2533.56,Sugarcane,Flowering,DAP,,
5.54,132,10,103,21.53,30.65,378.3,Maize,Flowering,DAP,,
4.71,153,89,20,33.77,69.84,1489.03,Rice,Flowering,MOP,,
7.4,86,68,42,22.65,77.58,701.3,Cotton,Sowing,Zinc Sulphate,,
4.99,96,43,47,12.99,68.33,909.95,Cotton,Flowering,Compost,,
5.71,109,61,119,12.88,46.39,2355.79,Potato,Flowering,Urea,,
6.63,135,20,14,17.11,79.37,2581.69,Sugarcane,Flowering,DAP,,
6.76,106,17,68,26.94,84.8,1824.81,Tomato,Harvest,DAP,,
6.9,87,62,108,34.9,71.01,2617.08,Wheat,Harvest,DAP,,
5.17,120,24,60,26.01,60.66,2599.24,Rice,Sowing,DAP,,
6.02,76,37,74,32.38,51.98,820.25,Maize,Flowering,DAP,,
6.97,153,23,77,29.37,49.8,2006.05,Rice,Vegetative,DAP,,
8.38,90,67,67,25.72,73.39,2379.32,Maize,Flowering,Zinc Sulphate,,
7.41,122,66,57,16.44,66.43,1770.95,Maize,Sowing,DAP,,
8.19,152,61,67,36.5,39.41,2456.18,Sugarcane,Flowering,Zinc Sulphate,,
7.55,79,46,111,18.27,38.47,1960.73,Potato,Flowering,Compost,,
6.87,128,11,46,17.58,34.27,996.48,Maize,Flowering,DAP,,
5.27,120,43,16,17.73,71.01,2119.67,Wheat,Flowering,MOP,,
7.17,28,43,69,12.87,48.86,1846.4,Maize,Sowing,Urea,,
6.99,151,67,68,24.96,31.21,1949.86,Cotton,Harvest,NPK,,
6.91,93,82,19,19.83,50.26,466.9,Tomato,Harvest,MOP,,
6.46,115,70,42,25.66,79.93,552.06,Cotton,Harvest,Compost,,
6.61,148,63,60,23.59,44.86,2481.03,Tomato,Sowing,Zinc Sulphate,,
5.84,106,76,87,25.59,68.01,1407.56,Potato,Flowering,Urea,,
6.58,134,39,45,18.93,56.38,802.78,Rice,Harvest,DAP,,
5.29,135,89,47,34.45,62.93,459.49,Maize,Flowering,Compost,,
7.72,147,68,64,26.03,65.75,936.13,Sugarcane,Sowing,MOP,,
5.24,110,67,39,16.25,57.29,1026.55,Tomato,Vegetative,MOP,,
4.84,98,33,35,37.05,33.47,2952.3,Maize,Flowering,DAP,,
6.24,137,24,104,13.28,64.06,2536.61,Maize,Flowering,DAP,,
7.13,26,31,51,32,53.85,419.68,Maize,Sowing,Urea,,
6.25,152,41,56,30.35,41.99,2295.66,Sugarcane,Flowering,SSP,,
5.61,135,84,28,12.19,83.79,1779,Rice,Vegetative,MOP,,
6.73,122,51,113,37.05,74.16,839.73,Potato,Vegetative,NPK,,
5.89,72,68,86,19.49,47.04,2290.42,Maize,Harvest,Zinc Sulphate,,
8.23,138,64,96,32.23,62.34,284.5,Rice,Harvest,Zinc Sulphate,,
8.19,22,14,92,18.31,87.79,2248.29,Sugarcane,Sowing,Urea,,
6.51,81,50,89,25.77,44.73,2706.81,Rice,Vegetative,NPK,,
5.81,51,66,34,39.17,86.84,2671.32,Rice,Harvest,Urea,,
7.45,21,62,99,28.32,71,2362.55,Wheat,Vegetative,Urea,,
4.65,99,47,94,18.89,62.45,2817.25,Maize,Harvest,Compost,,
6.4,143,10,27,23.75,88.99,2180.52,Tomato,Sowing,DAP,,
5.85,100,69,18,30.28,50.02,2122.84,Tomato,Harvest,MOP,,
8.18,72,85,97,23.36,46.69,273.34,Rice,Harvest,Zinc Sulphate,,
4.55,159,55,113,37.32,50.38,687.73,Maize,Harvest,Compost,,
6.71,143,13,26,36.02,75.05,2388,Wheat,Flowering,DAP,,
7.46,152,24,103,14.4,50.22,2993.01,Wheat,Harvest,DAP,,
6.44,23,21,13,33.55,36.17,2215.81,Rice,Sowing,Urea,,
4.84,75,10,64,38.27,68.66,1823.52,Rice,Flowering,DAP,,
8.39,99,86,63,19.51,43.38,713.57,Tomato,Sowing,Zinc Sulphate,,
6.57,64,39,37,17.15,30.25,2854.15,Wheat,Sowing,DAP,,
6.96,72,83,114,10.29,41.95,2019.25,Cotton,Harvest,DAP,,
5.45,92,15,49,13.47,79.15,1569.31,Rice,Sowing,DAP,,
6.43,35,82,18,38.83,86.41,2611.88,Tomato,Flowering,Urea,,
6.22,112,59,45,21.73,69.72,2869.19,Cotton,Harvest,Compost,,
4.8,132,11,17,21.62,48.63,1239.32,Potato,Flowering,DAP,,
4.92,49,15,71,18,56.19,1644.2,Sugarcane,Sowing,Urea,,
7.85,39,84,95,14.92,41.67,522.29,Sugarcane,Vegetative,Urea,,
5.46,125,86,98,25.26,82.85,2887.59,Tomato,Flowering,Compost,,
5.28,106,47,58,31.7,69.93,537.89,Sugarcane,Sowing,Compost,,
6.52,55,85,79,26.52,35.06,2801.28,Rice,Flowering,Urea,,
7.57,41,27,99,11.06,52.02,734.9,Tomato,Vegetative,Urea,,
4.75,148,28,51,34.1,62.28,2744.57,Rice,Harvest,DAP,,
6.81,40,37,11,37.95,77.84,1466.46,Sugarcane,Flowering,Urea,,
4.98,24,21,40,23.21,85.23,1857.78,Cotton,Sowing,Urea,,
4.65,139,61,85,20.99,37.96,299.74,Rice,Vegetative,Compost,,
4.71,101,86,28,16.9,80.07,1304.28,Rice,Vegetative,MOP,,
7.84,98,67,110,19.06,33.95,1581.5,Maize,Harvest,Zinc Sulphate,,
4.97,64,31,110,29.33,44.43,226.4,Maize,Flowering,DAP,,
4.68,77,54,74,33.1,31.26,2050.4,Maize,Sowing,Compost,,
6.25,64,71,83,19.97,33.83,2548.91,Wheat,Vegetative,NPK,,
7.88,57,51,69,20.19,31.95,269.38,Rice,Vegetative,Urea,,
5.55,70,76,71,23.53,38.76,1579.1,Sugarcane,Sowing,DAP,,
6.19,43,18,69,15.11,82.59,294.45,Wheat,Sowing,Urea,,
4.66,110,73,107,37.82,47.03,2645.22,Wheat,Harvest,Compost,,
6.3,44,24,25,31.16,58.78,650.28,Wheat,Harvest,Urea,,
6.81,89,39,114,23.01,59.23,363.87,Sugarcane,Harvest,DAP,,
6.78,68,35,16,13.67,89.72,2601.55,Wheat,Harvest,DAP,,
5.83,36,78,86,35.46,51.88,1444.62,Maize,Vegetative,Urea,,
5.76,62,31,77,24.51,45.91,467.15,Potato,Sowing,DAP,,
4.93,101,63,112,33.91,87.79,2014.17,Tomato,Vegetative,Compost,,
5.97,82,67,104,11,65.55,2175.68,Wheat,Sowing,Zinc Sulphate,,
4.9,43,88,83,18.21,47.37,1791.34,Cotton,Sowing,Urea,,
7.57,52,62,21,28.66,47.25,1129.96,Maize,Vegetative,Urea,,
8.37,36,28,107,24.64,35.18,1388.56,Rice,Vegetative,Urea,,
8.38,63,43,101,18.85,63.41,2873.55,Rice,Harvest,Zinc Sulphate,,
7.96,126,23,14,16.03,73.42,1696.21,Maize,Vegetative,DAP,,
6.9,118,31,101,19.05,58.48,1311.77,Tomato,Sowing,DAP,,
7.3,48,22,56,32.27,83.07,2182.94,Potato,Harvest,Urea,,
5.64,31,73,20,15.51,59.04,413.24,Tomato,Flowering,Urea,,
7.02,119,65,43,27.81,50.78,1012.64,Rice,Sowing,MOP,,
6.32,146,81,88,22.71,45.05,834.12,Sugarcane,Harvest,Compost,,
6.43,156,51,60,32.89,44.6,2104.29,Sugarcane,Harvest,SSP,,
7.53,105,75,14,16.05,48.99,1890.96,Potato,Harvest,MOP,,
5.63,72,72,57,18.1,89.52,2326.42,Wheat,Vegetative,NPK,,
5.77,80,51,94,21.96,51.65,1394.96,Potato,Vegetative,NPK,,
8.2,132,43,40,15,61.48,687.04,Tomato,Vegetative,Zinc Sulphate,,
4.72,67,38,49,23.84,46.48,711.92,Tomato,Flowering,DAP,,
6.44,127,35,16,22.48,38.61,2698.31,Cotton,Flowering,DAP,,
8.15,98,32,108,39.7,68.75,409.7,Potato,Harvest,DAP,,
6.94,66,45,94,27.82,62.71,1863.54,Tomato,Flowering,DAP,,
6.69,86,18,49,12.08,34.07,848.68,Wheat,Flowering,DAP,,
5.5,83,51,78,23.8,82.97,799.98,Cotton,Sowing,NPK,,
5.87,141,76,23,36.36,60.46,475.54,Potato,Vegetative,MOP,,
7.91,63,16,107,36,50.12,2941.99,Tomato,Sowing,DAP,,
6.74,24,32,19,38.85,76.76,370.76,Rice,Sowing,Urea,,
6.56,113,41,91,36.83,36.73,613.7,Maize,Flowering,DAP,,
4.9,98,32,90,15.29,58.43,1222.47,Wheat,Harvest,DAP,,
4.56,58,25,111,10.11,62.93,1476.23,Potato,Harvest,Urea,,
8.35,121,78,58,28.49,76.51,2862.24,Sugarcane,Sowing,Zinc Sulphate,,
6.01,111,22,105,31.07,52.21,877.01,Tomato,Sowing,DAP,,
6.91,40,19,26,13.94,81.3,2218.74,Wheat,Sowing,Urea,,
4.82,93,68,95,15.01,71.86,2037.89,Sugarcane,Flowering,Compost,,
7.23,47,11,98,38.89,76.26,1648.99,Maize,Sowing,Urea,,
8.23,132,89,60,38.31,88.14,944.97,Maize,Vegetative,Zinc Sulphate,,
6.8,47,61,89,14.71,80.69,638.58,Maize,Sowing,Urea,,
5,105,10,71,17.41,50.81,694.26,Wheat,Sowing,DAP,,
6.83,121,79,39,36.76,68.75,1168.78,Potato,Sowing,MOP,,
7.57,38,63,64,23.05,82.12,583.94,Sugarcane,Vegetative,Urea,,
6.13,82,28,43,33.94,61.51,2996.03,Rice,Flowering,DAP,,
8.02,135,37,78,21.88,70.97,1448.29,Cotton,Vegetative,DAP,,
7.09,57,14,117,32.09,40.34,1709.17,Maize,Vegetative,Urea,,
8.1,65,85,42,21.9,78.95,1926.08,Rice,Vegetative,Zinc Sulphate,,
6.99,111,39,14,36.98,75.45,748.2,Wheat,Harvest,DAP,,
5.03,28,28,113,19.77,83.33,1548.91,Cotton,Sowing,Urea,,
5.74,28,51,51,25.69,72.61,376.09,Potato,Vegetative,Urea,,
5.31,40,34,12,25.65,82.61,2913.67,Potato,Flowering,Urea,,
8.14,43,44,72,29.47,39.73,1523.91,Potato,Sowing,Urea,,
7.54,114,18,47,19.2,78.82,283.05,Rice,Harvest,DAP,,
7.21,112,48,22,29.28,87.18,1877.41,Potato,Harvest,MOP,,
5.7,59,65,17,14.23,78.93,480.32,Potato,Harvest,Urea,,
5.24,151,47,70,36.81,66.91,2411.95,Rice,Harvest,Compost,,
7.53,150,24,39,14.33,85.59,2869.4,Potato,Harvest,DAP,,
6.4,40,55,59,35.21,35.67,2766.37,Maize,Sowing,Urea,,
5.4,27,46,78,30.79,31.01,1397.79,Rice,Harvest,Urea,,
6.97,139,69,47,20.23,87.92,2195.23,Potato,Sowing,MOP,,
4.66,129,71,68,19.82,70.98,636.25,Rice,Vegetative,Compost,,
5.8,148,40,104,38.98,36.85,411.95,Potato,Harvest,NPK,,
6.37,33,39,11,15.85,50.4,2498.94,Cotton,Harvest,Urea,,
5.09,95,75,66,31.69,74.93,2146.47,Tomato,Flowering,Compost,,
